datetime,open,high,low,close,volume,quote_volume,taker_buy_volume
2024-10-25 03:00:00,68066.99,68234.34,67989.55,68008.0,513.74526,34992171.7308282,195.90098
2024-10-25 04:00:00,68007.99,68045.36,67691.44,67744.0,757.84685,51399934.1130035,261.73504
2024-10-25 05:00:00,67744.01,67875.08,67574.92,67757.21,688.27431,46625620.0474675,280.43905
2024-10-25 06:00:00,67757.21,67860.0,67596.92,67646.21,555.06302,37586730.6447351,271.99758
2024-10-25 07:00:00,67646.21,67727.3,67250.0,67531.97,1238.06394,83519788.617917,574.36986
2024-10-25 08:00:00,67531.96,67757.58,67286.28,67658.5,931.52642,62932051.0873045,468.7777
2024-10-25 09:00:00,67658.49,67878.0,67524.91,67837.28,1010.31439,68370138.1190846,474.66176
2024-10-25 10:00:00,67837.29,67878.76,67678.0,67855.23,456.55528,30958027.3417577,222.86582
2024-10-25 11:00:00,67855.23,68183.78,67801.21,68105.79,1034.19925,70319294.7736618,719.60352
2024-10-25 12:00:00,68105.79,68294.92,67959.68,68061.9,658.31277,44843483.7098991,288.8485
2024-10-25 13:00:00,68061.89,68427.62,67737.61,68334.0,1218.60277,82937714.331707,586.31293
2024-10-25 14:00:00,68334.01,68771.49,68140.0,68311.31,2041.27174,139785436.8453077,1044.35983
2024-10-25 15:00:00,68311.3,68543.3,67429.87,67690.01,2145.61355,146124718.0128217,939.48153
2024-10-25 16:00:00,67690.01,67890.52,67355.0,67670.0,1661.39602,112415797.9335414,821.79443
2024-10-25 17:00:00,67669.99,67814.0,66770.7,66836.01,2503.52003,168265521.8628191,921.8774
2024-10-25 18:00:00,66836.0,67585.87,66006.6,67026.61,6126.68051,409385826.7224255,2783.47035
2024-10-25 19:00:00,67026.62,67237.01,66618.58,66850.0,2527.96506,169236133.1380125,1328.47052
2024-10-25 20:00:00,66849.99,67034.36,66620.38,66937.99,1056.82465,70632483.9599646,514.92899
2024-10-25 21:00:00,66938.0,67297.9,66938.0,67297.9,482.54189,32385738.0032308,273.41496
2024-10-25 22:00:00,67297.89,67392.52,66618.01,66626.42,660.45329,44274173.0033401,268.42358
2024-10-25 23:00:00,66626.43,66800.0,65596.29,66698.33,4621.21763,305575030.5010951,2111.03251
2024-10-26 00:00:00,66698.32,66859.76,66546.67,66736.0,1351.31462,90161533.3913952,702.84563
2024-10-26 01:00:00,66736.0,66816.0,66543.46,66711.99,750.17007,50011583.1521781,385.09554
2024-10-26 02:00:00,66711.99,67050.2,66439.9,66847.18,1008.27108,67366316.8843987,533.63278
2024-10-26 03:00:00,66847.19,66988.0,66700.0,66914.0,575.24971,38454571.4542621,274.2581
2024-10-26 04:00:00,66914.0,66994.31,66784.26,66948.07,396.3471,26522923.3388127,164.61004
2024-10-26 05:00:00,66948.06,67223.92,66944.0,67132.0,545.64975,36618340.4681657,300.48259
2024-10-26 06:00:00,67131.99,67240.02,67047.54,67170.03,336.9155,22623389.2838581,149.98296
2024-10-26 07:00:00,67170.03,67186.0,66995.61,67007.99,349.95281,23473966.5973625,129.55789
2024-10-26 08:00:00,67007.99,67175.31,66997.52,67134.65,218.43166,14656287.5784428,101.41606
2024-10-26 09:00:00,67134.65,67264.34,67054.75,67054.75,343.50673,23066806.0309718,151.95228
2024-10-26 10:00:00,67054.76,67177.38,66994.31,67053.96,434.19227,29130246.0071496,208.68277
2024-10-26 11:00:00,67053.95,67162.81,66953.02,67138.0,495.74422,33248773.7268239,304.72522
2024-10-26 12:00:00,67138.0,67180.0,67006.47,67034.11,279.60201,18753556.9321426,104.91753
2024-10-26 13:00:00,67034.12,67118.0,66867.96,66894.0,987.30125,66131290.874992,516.38172
2024-10-26 14:00:00,66894.0,66953.28,66744.0,66797.99,703.64163,47021493.3251467,364.12196
2024-10-26 15:00:00,66797.99,67010.0,66762.57,66886.49,640.23767,42828747.2009903,332.13795
